subj,accuracy,cm,best_epoch
1,93.75,"[[  nan   nan   nan]
 [0.    1.    0.   ]
 [0.    0.125 0.875]]",3
10,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",2
14,91.67,"[[       nan        nan        nan]
 [0.         0.83333333 0.16666667]
 [0.         0.         1.        ]]",1
15,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",2
17,93.33,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.13333333 0.86666667]]",3
19,87.5,"[[   nan    nan    nan]
 [0.     0.9375 0.0625]
 [0.     0.1875 0.8125]]",3
2,92.31,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.15384615 0.84615385]]",3
20,73.33,"[[       nan        nan        nan]
 [0.         0.66666667 0.33333333]
 [0.         0.2        0.8       ]]",20
21,80.0,"[[nan nan nan]
 [0.  0.6 0.4]
 [0.  0.  1. ]]",2
23,81.47999999999999,"[[       nan        nan        nan]
 [0.         0.96296296 0.03703704]
 [0.         0.33333333 0.66666667]]",5
25,95.45,"[[       nan        nan        nan]
 [0.         0.90909091 0.09090909]
 [0.         0.         1.        ]]",9
28,87.5,"[[       nan        nan        nan]
 [0.         0.92857143 0.07142857]
 [0.         0.17857143 0.82142857]]",9
29,90.0,"[[nan nan nan]
 [0.  0.9 0.1]
 [0.  0.1 0.9]]",1
3,82.61,"[[       nan        nan        nan]
 [0.         0.95652174 0.04347826]
 [0.         0.30434783 0.69565217]]",11
30,90.74,"[[       nan        nan        nan]
 [0.         0.92592593 0.07407407]
 [0.         0.11111111 0.88888889]]",7
31,81.25,"[[  nan   nan   nan]
 [0.    0.875 0.125]
 [0.    0.25  0.75 ]]",8
32,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",1
33,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",1
35,89.71000000000001,"[[       nan        nan        nan]
 [0.         0.91176471 0.08823529]
 [0.         0.11764706 0.88235294]]",3
36,80.0,"[[nan nan nan]
 [0.  0.8 0.2]
 [0.  0.2 0.8]]",4
37,90.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.2 0.8]]",2
38,66.67,"[[       nan        nan        nan]
 [0.         0.66666667 0.33333333]
 [0.         0.33333333 0.66666667]]",4
39,90.0,"[[nan nan nan]
 [0.  0.9 0.1]
 [0.  0.1 0.9]]",4
6,88.24,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.23529412 0.76470588]]",6
