subj,accuracy,cm,best_epoch
1,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",3
10,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",2
14,91.67,"[[       nan        nan        nan]
 [0.         0.83333333 0.16666667]
 [0.         0.         1.        ]]",2
15,94.44,"[[       nan        nan        nan]
 [0.         0.88888889 0.11111111]
 [0.         0.         1.        ]]",1
17,90.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.2 0.8]]",1
19,87.5,"[[ nan  nan  nan]
 [0.   1.   0.  ]
 [0.   0.25 0.75]]",2
2,92.31,"[[       nan        nan        nan]
 [0.         0.92307692 0.07692308]
 [0.         0.07692308 0.92307692]]",4
20,83.33,"[[       nan        nan        nan]
 [0.         0.73333333 0.26666667]
 [0.         0.06666667 0.93333333]]",13
21,80.0,"[[nan nan nan]
 [0.  0.6 0.4]
 [0.  0.  1. ]]",5
23,81.47999999999999,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.37037037 0.62962963]]",3
25,90.91,"[[       nan        nan        nan]
 [0.         0.81818182 0.18181818]
 [0.         0.         1.        ]]",5
28,85.71,"[[       nan        nan        nan]
 [0.         0.92857143 0.07142857]
 [0.         0.21428571 0.78571429]]",15
29,95.0,"[[nan nan nan]
 [0.  0.9 0.1]
 [0.  0.  1. ]]",15
3,80.43,"[[       nan        nan        nan]
 [0.         0.7826087  0.2173913 ]
 [0.         0.17391304 0.82608696]]",2
30,92.58999999999999,"[[       nan        nan        nan]
 [0.         0.92592593 0.07407407]
 [0.         0.07407407 0.92592593]]",4
31,75.0,"[[  nan   nan   nan]
 [0.    0.875 0.125]
 [0.    0.375 0.625]]",8
32,90.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.2 0.8]]",1
33,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",2
35,89.71000000000001,"[[       nan        nan        nan]
 [0.         0.91176471 0.08823529]
 [0.         0.11764706 0.88235294]]",3
36,80.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.4 0.6]]",1
37,90.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.2 0.8]]",1
38,66.67,"[[       nan        nan        nan]
 [0.         0.66666667 0.33333333]
 [0.         0.33333333 0.66666667]]",8
39,90.0,"[[nan nan nan]
 [0.  0.8 0.2]
 [0.  0.  1. ]]",6
6,94.12,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.11764706 0.88235294]]",14
