subj,accuracy,cm,best_epoch
1,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",2
10,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",1
14,91.67,"[[       nan        nan        nan]
 [0.         0.83333333 0.16666667]
 [0.         0.         1.        ]]",1
15,94.44,"[[       nan        nan        nan]
 [0.         0.88888889 0.11111111]
 [0.         0.         1.        ]]",10
17,96.67,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.06666667 0.93333333]]",2
19,87.5,"[[  nan   nan   nan]
 [0.    0.875 0.125]
 [0.    0.125 0.875]]",7
2,92.31,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.15384615 0.84615385]]",3
20,80.0,"[[       nan        nan        nan]
 [0.         0.73333333 0.26666667]
 [0.         0.13333333 0.86666667]]",7
21,90.0,"[[nan nan nan]
 [0.  0.8 0.2]
 [0.  0.  1. ]]",2
23,81.47999999999999,"[[       nan        nan        nan]
 [0.         0.96296296 0.03703704]
 [0.         0.33333333 0.66666667]]",3
25,90.91,"[[       nan        nan        nan]
 [0.         0.81818182 0.18181818]
 [0.         0.         1.        ]]",2
28,85.71,"[[       nan        nan        nan]
 [0.         0.92857143 0.07142857]
 [0.         0.21428571 0.78571429]]",5
29,90.0,"[[nan nan nan]
 [0.  0.8 0.2]
 [0.  0.  1. ]]",1
3,86.96000000000001,"[[       nan        nan        nan]
 [0.         0.86956522 0.13043478]
 [0.         0.13043478 0.86956522]]",2
30,94.44,"[[       nan        nan        nan]
 [0.         0.92592593 0.07407407]
 [0.         0.03703704 0.96296296]]",19
31,81.25,"[[  nan   nan   nan]
 [0.    0.875 0.125]
 [0.    0.25  0.75 ]]",6
32,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",1
33,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",3
35,92.65,"[[       nan        nan        nan]
 [0.         0.94117647 0.05882353]
 [0.         0.08823529 0.91176471]]",3
36,90.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.2 0.8]]",2
37,90.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.2 0.8]]",3
38,66.67,"[[       nan        nan        nan]
 [0.         0.66666667 0.33333333]
 [0.         0.33333333 0.66666667]]",2
39,80.0,"[[nan nan nan]
 [0.  0.7 0.3]
 [0.  0.1 0.9]]",2
6,85.28999999999999,"[[       nan        nan        nan]
 [0.         0.88235294 0.11764706]
 [0.         0.17647059 0.82352941]]",3
