subj,accuracy,cm,best_epoch
1,93.75,"[[  nan   nan   nan]
 [0.    0.875 0.125]
 [0.    0.    1.   ]]",6
10,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",18
14,83.33,"[[       nan        nan        nan]
 [0.         0.83333333 0.16666667]
 [0.         0.16666667 0.83333333]]",7
15,94.44,"[[       nan        nan        nan]
 [0.         0.88888889 0.11111111]
 [0.         0.         1.        ]]",5
17,96.67,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.06666667 0.93333333]]",7
19,93.75,"[[  nan   nan   nan]
 [0.    1.    0.   ]
 [0.    0.125 0.875]]",9
2,92.31,"[[       nan        nan        nan]
 [0.         1.         0.        ]
 [0.         0.15384615 0.84615385]]",17
20,73.33,"[[       nan        nan        nan]
 [0.         0.6        0.4       ]
 [0.         0.13333333 0.86666667]]",5
21,90.0,"[[nan nan nan]
 [0.  0.8 0.2]
 [0.  0.  1. ]]",5
23,81.47999999999999,"[[       nan        nan        nan]
 [0.         0.96296296 0.03703704]
 [0.         0.33333333 0.66666667]]",17
25,95.45,"[[       nan        nan        nan]
 [0.         0.90909091 0.09090909]
 [0.         0.         1.        ]]",16
28,85.71,"[[       nan        nan        nan]
 [0.         0.92857143 0.07142857]
 [0.         0.21428571 0.78571429]]",8
29,80.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.4 0.6]]",3
3,80.43,"[[       nan        nan        nan]
 [0.         0.82608696 0.17391304]
 [0.         0.2173913  0.7826087 ]]",12
30,88.89,"[[       nan        nan        nan]
 [0.         0.88888889 0.11111111]
 [0.         0.11111111 0.88888889]]",5
31,56.25,"[[  nan   nan   nan]
 [0.    0.5   0.5  ]
 [0.    0.375 0.625]]",2
32,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",5
33,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",2
35,85.28999999999999,"[[       nan        nan        nan]
 [0.         0.82352941 0.17647059]
 [0.         0.11764706 0.88235294]]",8
36,80.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.4 0.6]]",19
37,100.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  0.  1.]]",4
38,66.67,"[[       nan        nan        nan]
 [0.         0.66666667 0.33333333]
 [0.         0.33333333 0.66666667]]",14
39,85.0,"[[nan nan nan]
 [0.  0.8 0.2]
 [0.  0.1 0.9]]",5
6,85.28999999999999,"[[       nan        nan        nan]
 [0.         0.94117647 0.05882353]
 [0.         0.23529412 0.76470588]]",9
