subj,accuracy,cm,best_epoch
1,50.0,"[[0. 1. 0.]
 [0. 1. 0.]
 [0. 1. 0.]]",1
10,50.0,"[[0. 1. 0.]
 [0. 1. 0.]
 [0. 1. 0.]]",1
14,50.0,"[[0. 1. 0.]
 [0. 1. 0.]
 [0. 1. 0.]]",1
15,50.0,"[[0. 1. 0.]
 [0. 1. 0.]
 [0. 1. 0.]]",1
17,50.0,"[[0. 1. 0.]
 [0. 1. 0.]
 [0. 1. 0.]]",1
19,50.0,"[[0. 1. 0.]
 [0. 1. 0.]
 [0. 1. 0.]]",1
2,50.0,"[[0. 1. 0.]
 [0. 1. 0.]
 [0. 1. 0.]]",1
20,50.0,"[[0. 1. 0.]
 [0. 1. 0.]
 [0. 1. 0.]]",1
21,50.0,"[[0. 1. 0.]
 [0. 1. 0.]
 [0. 1. 0.]]",1
23,51.849999999999994,"[[0.         1.         0.        ]
 [0.         1.         0.        ]
 [0.         0.92592593 0.07407407]]",4
25,50.0,"[[0. 1. 0.]
 [0. 1. 0.]
 [0. 1. 0.]]",1
28,50.0,"[[0. 1. 0.]
 [0. 1. 0.]
 [0. 1. 0.]]",1
29,50.0,"[[0. 1. 0.]
 [0. 1. 0.]
 [0. 1. 0.]]",1
3,50.0,"[[0. 1. 0.]
 [0. 1. 0.]
 [0. 1. 0.]]",1
30,50.0,"[[0. 1. 0.]
 [0. 1. 0.]
 [0. 1. 0.]]",1
31,53.12,"[[0.125 0.875 0.   ]
 [0.    1.    0.   ]
 [0.125 0.875 0.   ]]",3
32,50.0,"[[0. 1. 0.]
 [0. 1. 0.]
 [0. 1. 0.]]",1
33,50.0,"[[0. 1. 0.]
 [0. 1. 0.]
 [0. 1. 0.]]",1
35,51.470000000000006,"[[0.05882353 0.94117647 0.        ]
 [0.         1.         0.        ]
 [0.         1.         0.        ]]",3
36,55.00000000000001,"[[0.2 0.8 0. ]
 [0.  1.  0. ]
 [0.2 0.8 0. ]]",6
37,50.0,"[[0. 1. 0.]
 [0. 1. 0.]
 [0. 1. 0.]]",1
38,50.0,"[[0. 1. 0.]
 [0. 1. 0.]
 [0. 1. 0.]]",1
39,50.0,"[[0. 1. 0.]
 [0. 1. 0.]
 [0. 1. 0.]]",1
6,51.470000000000006,"[[0.05882353 0.94117647 0.        ]
 [0.         1.         0.        ]
 [0.         1.         0.        ]]",4
