subj,accuracy,cm,best_epoch
1,56.25,"[[  nan   nan   nan]
 [0.    1.    0.   ]
 [0.    0.875 0.125]]",2
10,70.0,"[[nan nan nan]
 [0.  0.4 0.6]
 [0.  0.  1. ]]",4
14,58.330000000000005,"[[       nan        nan        nan]
 [0.         0.83333333 0.16666667]
 [0.         0.66666667 0.33333333]]",1
15,83.33,"[[       nan        nan        nan]
 [0.         0.66666667 0.33333333]
 [0.         0.         1.        ]]",6
17,70.0,"[[       nan        nan        nan]
 [0.         0.53333333 0.46666667]
 [0.         0.13333333 0.86666667]]",3
19,56.25,"[[  nan   nan   nan]
 [0.    0.125 0.875]
 [0.    0.    1.   ]]",2
2,65.38000000000001,"[[       nan        nan        nan]
 [0.         0.53846154 0.46153846]
 [0.         0.23076923 0.76923077]]",8
20,53.33,"[[       nan        nan        nan]
 [0.         0.06666667 0.93333333]
 [0.         0.         1.        ]]",5
21,50.0,"[[nan nan nan]
 [0.  0.8 0.2]
 [0.  0.8 0.2]]",1
23,75.92999999999999,"[[       nan        nan        nan]
 [0.         0.62962963 0.37037037]
 [0.         0.11111111 0.88888889]]",4
25,68.17999999999999,"[[       nan        nan        nan]
 [0.09090909 0.54545455 0.36363636]
 [0.         0.18181818 0.81818182]]",4
28,55.36,"[[       nan        nan        nan]
 [0.         0.42857143 0.57142857]
 [0.         0.32142857 0.67857143]]",4
29,70.0,"[[nan nan nan]
 [0.  0.7 0.3]
 [0.  0.3 0.7]]",5
3,54.35,"[[       nan        nan        nan]
 [0.         0.08695652 0.91304348]
 [0.         0.         1.        ]]",20
30,55.559999999999995,"[[       nan        nan        nan]
 [0.         0.11111111 0.88888889]
 [0.         0.         1.        ]]",7
31,50.0,"[[  nan   nan   nan]
 [0.    1.    0.   ]
 [0.125 0.875 0.   ]]",2
32,80.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.4 0.6]]",3
33,50.0,"[[nan nan nan]
 [ 0.  1.  0.]
 [ 0.  1.  0.]]",1
35,51.470000000000006,"[[       nan        nan        nan]
 [0.         0.02941176 0.97058824]
 [0.         0.         1.        ]]",1
36,70.0,"[[nan nan nan]
 [0.  1.  0. ]
 [0.  0.6 0.4]]",1
37,70.0,"[[nan nan nan]
 [0.  0.6 0.4]
 [0.  0.2 0.8]]",3
38,50.0,"[[nan nan nan]
 [ 0.  0.  1.]
 [ 0.  0.  1.]]",1
39,50.0,"[[nan nan nan]
 [ 0.  0.  1.]
 [ 0.  0.  1.]]",1
6,61.760000000000005,"[[       nan        nan        nan]
 [0.         0.35294118 0.64705882]
 [0.         0.11764706 0.88235294]]",7
