subj,accuracy,cm,best_epoch

split_0,70.89999999999999,"[[0.63834602 0.34951656 0.01213742]
 [0.10979259 0.78072438 0.10948303]
 [0.01645833 0.34770833 0.63583333]]",34

split_1,68.53,"[[0.58834827 0.3945796  0.01707213]
 [0.10713898 0.79006846 0.10279257]
 [0.01910422 0.40373594 0.57715984]]",29

split_2,69.0,"[[0.5910804  0.38965662 0.01926298]
 [0.11028501 0.78996283 0.09975217]
 [0.0206441  0.3916185  0.58773741]]",21

split_3,68.07,"[[0.58295218 0.3975052  0.01954262]
 [0.11036409 0.77709971 0.1125362 ]
 [0.01969635 0.39454247 0.58576118]]",21

split_4,64.07000000000001,"[[0.4822314  0.50227273 0.01549587]
 [0.09997939 0.79828901 0.1017316 ]
 [0.01941545 0.49895616 0.48162839]]",28

split_5,65.48,"[[0.52809901 0.45891662 0.01298438]
 [0.10262881 0.79106204 0.10630915]
 [0.01630989 0.46585117 0.51783894]]",16

split_6,62.519999999999996,"[[0.46711878 0.51150843 0.02137279]
 [0.10722779 0.78843966 0.10433254]
 [0.02142709 0.52173913 0.45683378]]",24
split_7,62.78,"[[0.47870312 0.49290104 0.02839585]
 [0.11356692 0.7725606  0.11387248]
 [0.02292144 0.49885393 0.47822463]]",24
split_8,70.04,"[[0.59870618 0.38793823 0.01335559]
 [0.09690807 0.80846649 0.09462544]
 [0.01648352 0.3960114  0.58750509]]",24
split_9,61.519999999999996,"[[0.42408054 0.55557839 0.02034107]
 [0.10173647 0.80163432 0.09662921]
 [0.01818558 0.55156024 0.43025418]]",24
