subj,accuracy,cm,best_epoch

split_0,70.99,"[[0.63481997 0.34779051 0.01738953]
 [0.10856379 0.7826668  0.1087694 ]
 [0.01519949 0.34684399 0.63795651]]",23

split_1,68.61,"[[0.58836254 0.39584685 0.01579061]
 [0.10497416 0.78639104 0.1086348 ]
 [0.01876733 0.39731286 0.58391981]]",26

split_2,69.32000000000001,"[[0.59174312 0.38636364 0.02189324]
 [0.10151188 0.79594775 0.10254037]
 [0.02027168 0.39352142 0.5862069 ]]",12

split_3,67.94,"[[0.59887944 0.38410459 0.01701598]
 [0.12000414 0.76755022 0.11244564]
 [0.01989744 0.39569231 0.58441026]]",27

split_4,64.42999999999999,"[[0.47539599 0.5093981  0.01520591]
 [0.09535899 0.80643851 0.0982025 ]
 [0.02126316 0.50210526 0.47663158]]",22

split_5,65.47,"[[0.51668702 0.46540497 0.01790802]
 [0.10280957 0.78990635 0.10728408]
 [0.01452282 0.45975104 0.52572614]]",22

split_6,62.370000000000005,"[[0.46570842 0.51663244 0.01765914]
 [0.11284812 0.78165442 0.10549746]
 [0.02097612 0.51235722 0.46666667]]",23

split_7,62.71,"[[0.46040017 0.51313047 0.02646936]
 [0.09552762 0.78915911 0.11531327]
 [0.02234175 0.5103434  0.46731485]]",19

split_8,69.76,"[[0.58288213 0.40358184 0.01353603]
 [0.0949692  0.79794661 0.10708419]
 [0.01103707 0.38025823 0.60870471]]",29

split_9,62.12,"[[0.44205298 0.53725166 0.02069536]
 [0.10405447 0.79117976 0.10476578]
 [0.01866058 0.52747253 0.45386689]]",20
