subj,accuracy,cm,best_epoch

split_0,71.00999999999999,"[[0.61639549 0.36712557 0.01647893]
 [0.10394777 0.79567479 0.10037744]
 [0.01766562 0.35436383 0.62797056]]",21

split_1,68.46,"[[0.60179118 0.38029707 0.01791175]
 [0.11665785 0.78223162 0.10111052]
 [0.01773593 0.41668491 0.56557915]]",18

split_2,69.08999999999999,"[[0.60158201 0.37364696 0.02477102]
 [0.11440287 0.77447463 0.1111225 ]
 [0.02697576 0.36332982 0.60969442]]",25

split_3,68.49,"[[0.58627087 0.39641311 0.01731602]
 [0.10558878 0.78346051 0.11095071]
 [0.0195711  0.39496148 0.58546742]]",15

split_4,64.13,"[[0.47103848 0.50724038 0.02172114]
 [0.10095316 0.80075843 0.09828841]
 [0.01813963 0.49525417 0.4866062 ]]",24

split_5,65.3,"[[0.52168576 0.46153846 0.01677578]
 [0.10618919 0.78420617 0.10960464]
 [0.01522737 0.46245307 0.52231957]]",16

split_6,62.22,"[[0.45956567 0.51789038 0.02254395]
 [0.11015633 0.77720261 0.11264106]
 [0.02123711 0.50309278 0.4756701 ]]",21

split_7,62.67,"[[0.46998962 0.50342679 0.02658359]
 [0.104516   0.77749203 0.11799198]
 [0.0225     0.49895833 0.47854167]]",27

split_8,70.15,"[[0.58812421 0.39634914 0.01552665]
 [0.09368303 0.81263394 0.09368303]
 [0.01464742 0.39861896 0.58673363]]",16

split_9,61.23,"[[0.41939444 0.56280687 0.01779869]
 [0.10174359 0.79876923 0.09948718]
 [0.01687937 0.55084397 0.43227666]]",20
