subj,accuracy,cm,best_epoch

split_0,71.46000000000001,"[[0.63565217 0.34782609 0.01652174]
 [0.09511568 0.802485   0.10239931]
 [0.01512456 0.37188612 0.61298932]]",16

split_1,69.36,"[[0.5769577  0.40324032 0.01980198]
 [0.09474591 0.7962963  0.1089578 ]
 [0.01531915 0.38382979 0.60085106]]",24

split_2,70.03,"[[0.61777778 0.36533333 0.01688889]
 [0.10284743 0.7960051  0.10114747]
 [0.02920354 0.38761062 0.58318584]]",21

split_3,68.32000000000001,"[[0.58102435 0.40890008 0.01007557]
 [0.11286781 0.78436539 0.1027668 ]
 [0.02017544 0.39210526 0.5877193 ]]",15

split_4,64.87,"[[0.46303142 0.52033272 0.01663586]
 [0.0952986  0.81745023 0.08725116]
 [0.01459227 0.50643777 0.47896996]]",23

split_5,66.06,"[[0.53462838 0.44256757 0.02280405]
 [0.10248583 0.78499782 0.11251635]
 [0.01591512 0.443855   0.54022989]]",29

split_6,62.519999999999996,"[[0.45764192 0.51965066 0.02270742]
 [0.10633681 0.78862847 0.10503472]
 [0.01898188 0.51509922 0.4659189 ]]",22

split_7,63.41,"[[0.48135299 0.49436253 0.02428448]
 [0.11288927 0.77724913 0.10986159]
 [0.01749781 0.48381452 0.49868766]]",21
split_8,70.07,"[[0.56069869 0.4279476  0.01135371]
 [0.08466523 0.82980562 0.08552916]
 [0.00958188 0.41027875 0.58013937]]",19
split_9,62.4,"[[0.43298132 0.54752234 0.01949634]
 [0.10150223 0.81079984 0.08769793]
 [0.02478632 0.54358974 0.43162393]]",18
