subj,accuracy,cm,best_epoch

split_0,70.67,"[[0.63398693 0.35620915 0.00980392]
 [0.10972569 0.78636741 0.1039069 ]
 [0.01490066 0.3634106  0.62168874]]",27

split_1,68.88,"[[0.59762309 0.38624788 0.01612903]
 [0.11629918 0.79593601 0.08776481]
 [0.01898188 0.41328732 0.5677308 ]]",15

split_2,70.08,"[[0.6        0.38158996 0.01841004]
 [0.11035586 0.78968413 0.09996002]
 [0.01946903 0.3699115  0.61061947]]",23

split_3,69.28,"[[0.5962632  0.38342811 0.02030869]
 [0.10999582 0.78251777 0.10748641]
 [0.01233553 0.37335526 0.61430921]]",28

split_4,64.85,"[[0.47906198 0.50670017 0.01423786]
 [0.08567931 0.81925745 0.09506324]
 [0.00925926 0.52441077 0.46632997]]",17

split_5,65.74,"[[0.52098765 0.46502058 0.01399177]
 [0.10313531 0.8040429  0.09282178]
 [0.01002506 0.49122807 0.49874687]]",14

split_6,63.05,"[[0.5033557  0.48322148 0.01342282]
 [0.11197385 0.77891295 0.1091132 ]
 [0.01837928 0.52798663 0.45363409]]",22

split_7,63.13999999999999,"[[0.44723183 0.52422145 0.02854671]
 [0.09882066 0.79910533 0.10207401]
 [0.02378999 0.50861362 0.46759639]]",15
split_8,70.50999999999999,"[[0.59662447 0.39409283 0.0092827 ]
 [0.10503018 0.80724346 0.08772636]
 [0.01114923 0.39108062 0.59777015]]",14
split_9,61.739999999999995,"[[0.40777502 0.57981803 0.01240695]
 [0.10145513 0.80962005 0.08892482]
 [0.01763224 0.55163728 0.43073048]]",22
