subj,accuracy,cm,best_epoch

split_0,70.85000000000001,"[[0.6301257  0.35235937 0.01751494]
 [0.10377358 0.77860952 0.1176169 ]
 [0.01601011 0.33958289 0.64440699]]",18

split_1,68.4,"[[0.59316239 0.39017094 0.01666667]
 [0.10641304 0.78478261 0.10880435]
 [0.02055085 0.40190678 0.57754237]]",16

split_2,69.28,"[[0.5876807  0.39032055 0.02199874]
 [0.10405336 0.78327347 0.11267317]
 [0.02131216 0.36544087 0.61324697]]",18

split_3,68.41000000000001,"[[0.59613804 0.38557929 0.01828266]
 [0.11352081 0.77243956 0.11403964]
 [0.01609243 0.38704353 0.59686404]]",28

split_4,64.21,"[[0.47268557 0.50917431 0.01814012]
 [0.09787627 0.80599159 0.09613214]
 [0.01879307 0.50281896 0.47838797]]",21

split_5,65.83,"[[0.52438765 0.46027689 0.01533546]
 [0.10876591 0.78973945 0.10149465]
 [0.01664209 0.46682115 0.51653676]]",24

split_6,62.49,"[[0.467798   0.5093028  0.0228992 ]
 [0.10846616 0.77830677 0.11322708]
 [0.02504696 0.49885201 0.47610102]]",29

split_7,62.91,"[[0.46630389 0.51360402 0.02009209]
 [0.10946896 0.78789114 0.10263989]
 [0.02317253 0.51211291 0.46471456]]",20
split_8,69.85,"[[0.59525773 0.38948454 0.01525773]
 [0.09385382 0.80523256 0.10091362]
 [0.01624846 0.39387084 0.58988071]]",25
split_9,61.7,"[[0.44679527 0.52893591 0.02426882]
 [0.10624493 0.7838605  0.10989457]
 [0.02057784 0.53398462 0.44543754]]",24
