subj,accuracy,cm,best_epoch

split_0,70.62,"[[0.618618   0.36538856 0.01599344]
 [0.10476586 0.78849548 0.10673866]
 [0.01630884 0.35301404 0.63067713]]",17

split_1,68.58999999999999,"[[0.58288424 0.39685277 0.02026299]
 [0.10389055 0.79211201 0.10399743]
 [0.01802389 0.4082519  0.57372421]]",24

split_2,69.17999999999999,"[[0.59710874 0.38529227 0.01759899]
 [0.1084064  0.78628159 0.10531202]
 [0.02336642 0.38068652 0.59594706]]",29

split_3,68.47,"[[0.59837939 0.38583004 0.01579057]
 [0.11190182 0.77877475 0.10932343]
 [0.0150733  0.40264299 0.58228371]]",22

split_4,64.35,"[[0.4626178  0.5208377  0.0165445 ]
 [0.09227621 0.81381074 0.09391304]
 [0.01819322 0.50564617 0.4761606 ]]",30

split_5,65.82000000000001,"[[0.52486884 0.45687303 0.01825813]
 [0.10920879 0.7843177  0.10647351]
 [0.01635514 0.45475786 0.528887  ]]",20

split_6,62.370000000000005,"[[0.45513491 0.52227567 0.02258942]
 [0.10874244 0.7859998  0.10525776]
 [0.02372035 0.51456513 0.46171452]]",26
split_7,62.68,"[[0.47320125 0.50010428 0.02669447]
 [0.11270934 0.77612247 0.11116819]
 [0.02246256 0.49979201 0.47774542]]",30
split_8,69.78999999999999,"[[0.57962578 0.40873181 0.01164241]
 [0.09382127 0.81111341 0.09506531]
 [0.00981997 0.39914075 0.59103928]]",13
split_9,61.58,"[[0.43469261 0.54336576 0.02194163]
 [0.10306773 0.79791435 0.09901792]
 [0.02234754 0.55492899 0.42272348]]",29
