subj,accuracy,cm,best_epoch

split_0,71.0,"[[0.632506   0.34507606 0.02241793]
 [0.10625787 0.78916422 0.10457791]
 [0.02069536 0.34519868 0.63410596]]",28

split_1,69.39999999999999,"[[0.58008658 0.3982684  0.02164502]
 [0.10562473 0.81064835 0.08372692]
 [0.01886792 0.40737564 0.57375643]]",25

split_2,69.73,"[[0.62458472 0.35465116 0.02076412]
 [0.1007848  0.7905824  0.1086328 ]
 [0.02081599 0.39716903 0.58201499]]",15

split_3,68.78999999999999,"[[0.5968     0.3856     0.0176    ]
 [0.10502283 0.78372769 0.11124948]
 [0.01526718 0.39609839 0.58863444]]",26

split_4,64.35,"[[0.46575342 0.51113014 0.02311644]
 [0.09027205 0.81203627 0.09769167]
 [0.02179177 0.49717514 0.48103309]]",26

split_5,65.45,"[[0.50993377 0.47268212 0.01738411]
 [0.109375   0.79029605 0.10032895]
 [0.01421405 0.46153846 0.52424749]]",25

split_6,62.260000000000005,"[[0.44358974 0.53247863 0.02393162]
 [0.10826211 0.78917379 0.1025641 ]
 [0.01736973 0.52522746 0.45740281]]",11

split_7,62.949999999999996,"[[0.40170213 0.57787234 0.02042553]
 [0.0835677  0.82362395 0.09280836]
 [0.01880342 0.53589744 0.44529915]]",9

split_8,70.06,"[[0.59049208 0.39032527 0.01918265]
 [0.09549625 0.79899917 0.10550459]
 [0.01533495 0.36803874 0.61662631]]",29

split_9,62.06,"[[0.42940685 0.55304929 0.01754386]
 [0.09347301 0.80096696 0.10556003]
 [0.0167364  0.54560669 0.4376569 ]]",23

