subj,accuracy,cm,best_epoch

split_0,70.69,"[[0.63104965 0.35239891 0.01655144]
 [0.10475406 0.78236263 0.11288331]
 [0.01213742 0.3575396  0.63032298]]",26

split_1,68.76,"[[0.57928803 0.403452   0.01725998]
 [0.09954075 0.79653957 0.10391968]
 [0.01586267 0.40895263 0.5751847 ]]",21

split_2,69.5,"[[0.60297368 0.38115331 0.01587302]
 [0.10513036 0.7960471  0.09882254]
 [0.02056075 0.38878505 0.59065421]]",13

split_3,68.32000000000001,"[[0.5900854  0.39075193 0.01916267]
 [0.11587057 0.77750385 0.10662558]
 [0.0176495  0.39700997 0.58534053]]",28

split_4,63.88,"[[0.46300167 0.51755853 0.0194398 ]
 [0.09178645 0.80513347 0.10308008]
 [0.01788686 0.50540765 0.47670549]]",17

split_5,65.73,"[[0.51452194 0.46661013 0.01886792]
 [0.10743548 0.79014748 0.10241704]
 [0.01521694 0.45568579 0.52909727]]",30

split_6,62.28,"[[0.462388   0.51469056 0.02292144]
 [0.11694168 0.77564825 0.10741006]
 [0.02443609 0.50355054 0.47201337]]",21

split_7,62.63999999999999,"[[0.45086947 0.52398911 0.02514142]
 [0.10686944 0.78470929 0.10842127]
 [0.02185011 0.49295487 0.48519502]]",18
split_8,69.78999999999999,"[[0.59025907 0.39709845 0.01264249]
 [0.09307382 0.80836526 0.09856093]
 [0.01316872 0.40164609 0.58518519]]",29
split_9,61.150000000000006,"[[0.43905447 0.54265159 0.01829394]
 [0.10624485 0.79359027 0.10016488]
 [0.02455855 0.55226304 0.4231784 ]]",29
