subj,accuracy,cm,best_epoch

split_0,70.61,"[[0.63374486 0.35226337 0.01399177]
 [0.10617284 0.78395062 0.10987654]
 [0.01508801 0.36378877 0.62112322]]",14

split_1,69.33,"[[0.61106383 0.37021277 0.0187234 ]
 [0.10546707 0.79939733 0.0951356 ]
 [0.01475694 0.421875   0.56336806]]",30

split_2,69.71000000000001,"[[0.58554817 0.39285714 0.02159468]
 [0.09264645 0.79144163 0.11591192]
 [0.02139918 0.35802469 0.62057613]]",24

split_3,69.47,"[[0.59232026 0.39705882 0.01062092]
 [0.09797571 0.79959514 0.10242915]
 [0.01486014 0.40734266 0.5777972 ]]",13

split_4,64.56,"[[0.49716599 0.48340081 0.0194332 ]
 [0.08688388 0.79615706 0.11695906]
 [0.01162791 0.49003322 0.49833887]]",20

split_5,65.84,"[[0.51629503 0.46740995 0.01629503]
 [0.11197068 0.78542345 0.10260586]
 [0.01153213 0.45057661 0.53789127]]",26

split_6,63.11,"[[0.47913189 0.49582638 0.02504174]
 [0.11572942 0.76487368 0.1193969 ]
 [0.01689189 0.47550676 0.50760135]]",18

split_7,63.36000000000001,"[[0.4807219  0.49466776 0.02461034]
 [0.10445912 0.80388109 0.09165979]
 [0.02430847 0.53143336 0.44425817]]",25

split_8,70.78,"[[0.59504132 0.38677686 0.01818182]
 [0.09284818 0.81555834 0.09159348]
 [0.01862348 0.37165992 0.6097166 ]]",30

split_9,62.370000000000005,"[[0.43956954 0.53807947 0.02235099]
 [0.09153784 0.81407648 0.09438568]
 [0.01241722 0.56705298 0.4205298 ]]",27
