subject,accuracy,recall,precision,f1,tn,fn,fp,tp,max epoch

split_0,54.04,0.538860103626943,0.538860103626943,0.538860103626943,0.03260869565217391,0.967391304347826,0.018867924528301886,0.9811320754716981,2

split_1,80.43,0.8484848484848485,0.8484848484848485,0.8484848484848485,0.8461538461538461,0.15384615384615385,0.2328767123287671,0.7671232876712328,26

split_2,62.3,0.6288384512683578,0.6288384512683578,0.6288384512683578,0.5838323353293413,0.4161676646706587,0.3403361344537815,0.6596638655462185,14

split_3,73.11999999999999,0.7665198237885462,0.7665198237885462,0.7665198237885462,0.7695652173913043,0.23043478260869565,0.304,0.696,18

split_4,64.60000000000001,0.6587245970567625,0.6587245970567625,0.6587245970567625,0.6550991501416431,0.34490084985835695,0.36271186440677966,0.6372881355932203,19

split_5,72.98,0.7304492512479202,0.7304492512479202,0.7304492512479202,0.7065217391304348,0.29347826086956524,0.2482876712328767,0.7517123287671232,6

split_6,80.66,0.823045267489712,0.823045267489712,0.823045267489712,0.8213296398891967,0.1786703601108033,0.2073976221928666,0.7926023778071334,17

split_7,70.57,0.7178602243313201,0.7178602243313201,0.7178602243313201,0.7166377816291161,0.2833622183708839,0.30492898913951544,0.6950710108604845,13

split_8,54.949999999999996,0.5495495495495496,0.5495495495495496,0.5495495495495496,0.0,1.0,0.0,1.0,4

split_9,68.35,0.7050561797752809,0.7050561797752809,0.7050561797752809,0.6929824561403509,0.30701754385964913,0.32526881720430106,0.6747311827956989,39
