subject,accuracy,recall,precision,f1,tn,fn,fp,tp,max epoch

1,90.85,0.9240506329113924,0.9240506329113924,0.9240506329113924,0.9166666666666666,0.08333333333333333,0.09876543209876543,0.9012345679012346,7

10,100.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,10

14,73.33,0.782608695652174,0.782608695652174,0.782608695652174,0.75,0.25,0.28,0.72,7

15,72.11,0.7422680412371134,0.7422680412371134,0.7422680412371134,0.7222222222222222,0.2777777777777778,0.28,0.72,16

17,72.38,0.7117437722419929,0.7117437722419929,0.7117437722419929,0.6625,0.3375,0.21875,0.78125,7

19,63.05,0.6456310679611651,0.6456310679611651,0.6456310679611651,0.6275510204081632,0.37244897959183676,0.36666666666666664,0.6333333333333333,6

2,54.35,0.5957446808510638,0.5957446808510638,0.5957446808510638,0.7121212121212122,0.2878787878787879,0.6111111111111112,0.3888888888888889,6

20,69.95,0.7444444444444445,0.7444444444444445,0.7444444444444445,0.7653061224489796,0.23469387755102042,0.3619047619047619,0.638095238095238,8

21,86.67,1.0,1.0,1.0,1.0,0.0,0.24,0.76,9

23,56.56,0.5765124555160143,0.5765124555160143,0.5765124555160143,0.5688405797101449,0.4311594202898551,0.4375,0.5625,7

25,75.26,0.7954545454545454,0.7954545454545454,0.7954545454545454,0.8021978021978022,0.1978021978021978,0.29292929292929293,0.7070707070707071,15

28,77.48,0.7944954128440367,0.7944954128440367,0.7944954128440367,0.7974683544303798,0.20253164556962025,0.24695652173913044,0.7530434782608696,20

29,86.03,0.8732394366197183,0.8732394366197183,0.8732394366197183,0.859375,0.140625,0.1388888888888889,0.8611111111111112,29

3,84.39,0.8842105263157894,0.8842105263157894,0.8842105263157894,0.89,0.11,0.2,0.8,9

30,80.9,0.8376511226252159,0.8376511226252159,0.8376511226252159,0.8433333333333334,0.15666666666666668,0.224,0.776,8

31,88.33,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9107142857142857,0.08928571428571429,0.140625,0.859375,35

32,100.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,8

33,82.14,0.7894736842105263,0.7894736842105263,0.7894736842105263,0.6666666666666666,0.3333333333333333,0.0625,0.9375,6

35,67.23,0.6900647948164147,0.6900647948164147,0.6900647948164147,0.7013527575442248,0.29864724245577523,0.3558467741935484,0.6441532258064516,19

36,83.33,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.75,0.25,0.1,0.9,17

37,85.45,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.96,0.04,0.23333333333333334,0.7666666666666667,7

38,76.19,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.7777777777777778,0.2222222222222222,0.25,0.75,8

39,62.09,0.6825396825396826,0.6825396825396826,0.6825396825396826,0.7222222222222222,0.2777777777777778,0.4691358024691358,0.5308641975308642,8

6,81.15,0.820627802690583,0.820627802690583,0.820627802690583,0.8095238095238095,0.19047619047619047,0.18666666666666668,0.8133333333333334,18

