subject,accuracy,recall,precision,f1,tn,fn,fp,tp,max epoch

1,88.89,0.8902439024390244,0.8902439024390244,0.8902439024390244,0.875,0.125,0.09876543209876543,0.9012345679012346,7

10,100.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,7

14,80.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8,0.2,0.2,0.8,13

15,71.05,0.7419354838709677,0.7419354838709677,0.7419354838709677,0.7333333333333333,0.26666666666666666,0.31,0.69,6

17,69.96,0.7276595744680852,0.7276595744680852,0.7276595744680852,0.7333333333333333,0.26666666666666666,0.33203125,0.66796875,16

19,59.36,0.6086956521739131,0.6086956521739131,0.6086956521739131,0.5867346938775511,0.413265306122449,0.4,0.6,5

2,58.330000000000005,0.5838150289017341,0.5838150289017341,0.5838150289017341,0.45454545454545453,0.5454545454545454,0.2986111111111111,0.7013888888888888,7

20,65.27,0.676923076923077,0.676923076923077,0.676923076923077,0.6785714285714286,0.32142857142857145,0.37142857142857144,0.6285714285714286,19

21,80.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8,0.2,0.2,0.8,5

23,59.4,0.5913312693498453,0.5913312693498453,0.5913312693498453,0.5217391304347826,0.4782608695652174,0.3368055555555556,0.6631944444444444,5

25,79.47,0.8,0.8,0.8,0.7802197802197802,0.21978021978021978,0.1919191919191919,0.8080808080808081,7

28,78.19,0.827037773359841,0.827037773359841,0.827037773359841,0.8426763110307414,0.15732368896925858,0.27652173913043476,0.7234782608695652,21

29,84.56,0.9180327868852459,0.9180327868852459,0.9180327868852459,0.921875,0.078125,0.2222222222222222,0.7777777777777778,12

3,81.10000000000001,0.8441558441558441,0.8441558441558441,0.8441558441558441,0.85,0.15,0.2261904761904762,0.7738095238095238,19

30,83.91999999999999,0.8948339483394834,0.8948339483394834,0.8948339483394834,0.905,0.095,0.224,0.776,13

31,87.5,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.875,0.125,0.125,0.875,26

32,97.22,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9375,0.0625,0.0,1.0,8

33,75.0,0.8,0.8,0.8,0.75,0.25,0.25,0.75,9

35,65.34,0.6608784473953013,0.6608784473953013,0.6608784473953013,0.6545265348595213,0.34547346514047866,0.3477822580645161,0.6522177419354839,24

36,97.22,1.0,1.0,1.0,1.0,0.0,0.05,0.95,9

37,96.36,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.96,0.04,0.03333333333333333,0.9666666666666667,9

38,71.43,0.8,0.8,0.8,0.7777777777777778,0.2222222222222222,0.3333333333333333,0.6666666666666666,6

39,64.05,0.6857142857142857,0.6857142857142857,0.6857142857142857,0.6944444444444444,0.3055555555555556,0.4074074074074074,0.5925925925925926,6

6,76.32,0.7747747747747747,0.7747747747747747,0.7747747747747747,0.7619047619047619,0.23809523809523808,0.23555555555555555,0.7644444444444445,17

