subject,accuracy,recall,precision,f1,tn,fn,fp,tp,max epoch

1,88.89,0.9,0.9,0.9,0.8888888888888888,0.1111111111111111,0.1111111111111111,0.8888888888888888,15

10,100.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,8

14,71.11,0.7727272727272727,0.7727272727272727,0.7727272727272727,0.75,0.25,0.32,0.68,13

15,73.68,0.7551020408163265,0.7551020408163265,0.7551020408163265,0.7333333333333333,0.26666666666666666,0.26,0.74,21

17,72.98,0.7364341085271318,0.7364341085271318,0.7364341085271318,0.7166666666666667,0.2833333333333333,0.2578125,0.7421875,24

19,62.32,0.6172839506172839,0.6172839506172839,0.6172839506172839,0.5255102040816326,0.4744897959183674,0.2857142857142857,0.7142857142857143,9

2,58.699999999999996,0.6136363636363636,0.6136363636363636,0.6136363636363636,0.6136363636363636,0.38636363636363635,0.4375,0.5625,21

20,68.23,0.7341040462427746,0.7341040462427746,0.7341040462427746,0.7653061224489796,0.23469387755102042,0.3952380952380952,0.6047619047619047,9

21,71.11,0.75,0.75,0.75,0.7,0.3,0.28,0.72,20

23,58.69,0.5787965616045845,0.5787965616045845,0.5787965616045845,0.4673913043478261,0.532608695652174,0.2986111111111111,0.7013888888888888,6

25,76.84,0.8021978021978022,0.8021978021978022,0.8021978021978022,0.8021978021978022,0.1978021978021978,0.26262626262626265,0.7373737373737373,6

28,72.96000000000001,0.7463503649635036,0.7463503649635036,0.7463503649635036,0.7486437613019892,0.2513562386980108,0.288695652173913,0.711304347826087,24

29,81.62,0.8405797101449275,0.8405797101449275,0.8405797101449275,0.828125,0.171875,0.19444444444444445,0.8055555555555556,10

3,80.0,0.7935779816513762,0.7935779816513762,0.7935779816513762,0.775,0.225,0.1761904761904762,0.8238095238095238,8

30,82.69,0.9025341130604289,0.9025341130604289,0.9025341130604289,0.9166666666666666,0.08333333333333333,0.2592,0.7408,12

31,84.17,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.9107142857142857,0.08928571428571429,0.21875,0.78125,36

32,100.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,10

33,75.0,0.8,0.8,0.8,0.75,0.25,0.25,0.75,8

35,64.36,0.6541666666666667,0.6541666666666667,0.6541666666666667,0.6545265348595213,0.34547346514047866,0.36693548387096775,0.6330645161290323,27

36,86.11,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.875,0.125,0.15,0.85,7

37,89.09,0.9,0.9,0.9,0.88,0.12,0.1,0.9,20

38,80.95,0.9,0.9,0.9,0.8888888888888888,0.1111111111111111,0.25,0.75,10

39,61.44,0.6486486486486487,0.6486486486486487,0.6486486486486487,0.6388888888888888,0.3611111111111111,0.4074074074074074,0.5925925925925926,7

6,79.77,0.8099547511312217,0.8099547511312217,0.8099547511312217,0.8,0.2,0.20444444444444446,0.7955555555555556,37

