subject,accuracy,recall,precision,f1,tn,fn,fp,tp,max epoch

1,88.89,0.9,0.9,0.9,0.8888888888888888,0.1111111111111111,0.1111111111111111,0.8888888888888888,11

10,100.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,18

14,77.78,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.8,0.2,0.24,0.76,14

15,78.95,0.8061224489795918,0.8061224489795918,0.8061224489795918,0.7888888888888889,0.2111111111111111,0.21,0.79,26

17,70.36,0.7224489795918367,0.7224489795918367,0.7224489795918367,0.7166666666666667,0.2833333333333333,0.30859375,0.69140625,19

19,63.3,0.6613756613756614,0.6613756613756614,0.6613756613756614,0.673469387755102,0.32653061224489793,0.40476190476190477,0.5952380952380952,5

2,61.23,0.6370370370370371,0.6370370370370371,0.6370370370370371,0.6287878787878788,0.3712121212121212,0.4027777777777778,0.5972222222222222,36

20,63.3,0.6918238993710691,0.6918238993710691,0.6918238993710691,0.75,0.25,0.47619047619047616,0.5238095238095238,7

21,68.89,0.7037037037037037,0.7037037037037037,0.7037037037037037,0.6,0.4,0.24,0.76,5

23,56.47,0.5785582255083179,0.5785582255083179,0.5785582255083179,0.5869565217391305,0.41304347826086957,0.4565972222222222,0.5434027777777778,10

25,81.05,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.8021978021978022,0.1978021978021978,0.18181818181818182,0.8181818181818182,14

28,78.81,0.8169811320754717,0.8169811320754717,0.8169811320754717,0.8245931283905967,0.17540687160940324,0.24695652173913044,0.7530434782608696,17

29,86.03,0.9206349206349206,0.9206349206349206,0.9206349206349206,0.921875,0.078125,0.19444444444444445,0.8055555555555556,24

3,78.66,0.788235294117647,0.788235294117647,0.788235294117647,0.775,0.225,0.20238095238095238,0.7976190476190477,8

30,77.22,0.8619246861924686,0.8619246861924686,0.8619246861924686,0.89,0.11,0.3408,0.6592,12

31,76.67,0.8214285714285714,0.8214285714285714,0.8214285714285714,0.8214285714285714,0.17857142857142858,0.28125,0.71875,13

32,100.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,7

33,75.0,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.5833333333333334,0.4166666666666667,0.125,0.875,11

35,68.36,0.7110609480812641,0.7110609480812641,0.7110609480812641,0.7336108220603538,0.2663891779396462,0.3649193548387097,0.6350806451612904,9

36,80.56,0.8421052631578947,0.8421052631578947,0.8421052631578947,0.8125,0.1875,0.2,0.8,35

37,56.36,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.44,0.56,0.3333333333333333,0.6666666666666666,5

38,85.71,1.0,1.0,1.0,1.0,0.0,0.25,0.75,12

39,64.05,0.6274509803921569,0.6274509803921569,0.6274509803921569,0.4722222222222222,0.5277777777777778,0.20987654320987653,0.7901234567901234,7

6,79.77,0.8127853881278538,0.8127853881278538,0.8127853881278538,0.8047619047619048,0.19523809523809524,0.2088888888888889,0.7911111111111111,30

