subject,accuracy,recall,precision,f1,tn,fn,fp,tp,max epoch

1,88.89,0.9,0.9,0.9,0.8888888888888888,0.1111111111111111,0.1111111111111111,0.8888888888888888,8

10,100.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,9

14,82.22,0.8695652173913043,0.8695652173913043,0.8695652173913043,0.85,0.15,0.2,0.8,15

15,70.0,0.7216494845360825,0.7216494845360825,0.7216494845360825,0.7,0.3,0.3,0.7,13

17,71.17,0.748898678414097,0.748898678414097,0.748898678414097,0.7625,0.2375,0.3359375,0.6640625,18

19,61.58,0.640625,0.640625,0.640625,0.6479591836734694,0.3520408163265306,0.4142857142857143,0.5857142857142857,26

2,60.14000000000001,0.6328125,0.6328125,0.6328125,0.6439393939393939,0.3560606060606061,0.4375,0.5625,23

20,69.21000000000001,0.7114427860696517,0.7114427860696517,0.7114427860696517,0.7040816326530612,0.29591836734693877,0.319047619047619,0.680952380952381,18

21,75.56,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.7,0.3,0.2,0.8,10

23,58.599999999999994,0.5951134380453752,0.5951134380453752,0.5951134380453752,0.5797101449275363,0.42028985507246375,0.4079861111111111,0.5920138888888888,11

25,76.32,0.7547169811320755,0.7547169811320755,0.7547169811320755,0.7142857142857143,0.2857142857142857,0.1919191919191919,0.8080808080808081,11

28,62.32,0.6476377952755905,0.6476377952755905,0.6476377952755905,0.6763110307414105,0.32368896925858953,0.42782608695652175,0.5721739130434783,39

29,72.78999999999999,0.7692307692307693,0.7692307692307693,0.7692307692307693,0.765625,0.234375,0.3055555555555556,0.6944444444444444,19

3,79.14999999999999,0.7848970251716247,0.7848970251716247,0.7848970251716247,0.765,0.235,0.18333333333333332,0.8166666666666667,11

30,84.89999999999999,0.9014598540145985,0.9014598540145985,0.9014598540145985,0.91,0.09,0.2096,0.7904,15

31,80.83,0.9183673469387755,0.9183673469387755,0.9183673469387755,0.9285714285714286,0.07142857142857142,0.296875,0.703125,20

32,100.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,11

33,96.43,1.0,1.0,1.0,1.0,0.0,0.0625,0.9375,21

35,66.0,0.668724279835391,0.668724279835391,0.668724279835391,0.6649323621227887,0.3350676378772112,0.34475806451612906,0.655241935483871,31

36,86.11,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8125,0.1875,0.1,0.9,23

37,90.91,0.9629629629629629,0.9629629629629629,0.9629629629629629,0.96,0.04,0.13333333333333333,0.8666666666666667,13

38,61.9,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8888888888888888,0.1111111111111111,0.5833333333333334,0.4166666666666667,11

39,60.78,0.6521739130434783,0.6521739130434783,0.6521739130434783,0.6666666666666666,0.3333333333333333,0.4444444444444444,0.5555555555555556,19

6,79.08,0.7964601769911505,0.7964601769911505,0.7964601769911505,0.780952380952381,0.21904761904761905,0.2,0.8,20

