subject,accuracy,recall,precision,f1,tn,fn,fp,tp,max epoch

1,88.89,0.9,0.9,0.9,0.8888888888888888,0.1111111111111111,0.1111111111111111,0.8888888888888888,8

10,100.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,10

14,80.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8,0.2,0.2,0.8,13

15,71.58,0.7395833333333334,0.7395833333333334,0.7395833333333334,0.7222222222222222,0.2777777777777778,0.29,0.71,18

17,69.56,0.7215189873417721,0.7215189873417721,0.7215189873417721,0.725,0.275,0.33203125,0.66796875,14

19,66.5,0.6796116504854369,0.6796116504854369,0.6796116504854369,0.6632653061224489,0.336734693877551,0.3333333333333333,0.6666666666666666,8

2,63.77,0.6774193548387096,0.6774193548387096,0.6774193548387096,0.696969696969697,0.30303030303030304,0.4166666666666667,0.5833333333333334,21

20,64.53,0.675531914893617,0.675531914893617,0.675531914893617,0.6887755102040817,0.3112244897959184,0.3952380952380952,0.6047619047619047,11

21,80.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8,0.2,0.2,0.8,4

23,55.32,0.5694980694980695,0.5694980694980695,0.5694980694980695,0.5960144927536232,0.40398550724637683,0.4878472222222222,0.5121527777777778,6

25,67.89,0.7317073170731707,0.7317073170731707,0.7317073170731707,0.7582417582417582,0.24175824175824176,0.3939393939393939,0.6060606060606061,9

28,76.86,0.7813620071684588,0.7813620071684588,0.7813620071684588,0.779385171790235,0.2206148282097649,0.2417391304347826,0.7582608695652174,38

29,83.09,0.8769230769230769,0.8769230769230769,0.8769230769230769,0.875,0.125,0.20833333333333334,0.7916666666666666,19

3,83.05,0.8707124010554089,0.8707124010554089,0.8707124010554089,0.8775,0.1225,0.21428571428571427,0.7857142857142857,11

30,82.94,0.9126984126984127,0.9126984126984127,0.9126984126984127,0.9266666666666666,0.07333333333333333,0.264,0.736,7

31,83.33,0.9074074074074074,0.9074074074074074,0.9074074074074074,0.9107142857142857,0.08928571428571429,0.234375,0.765625,18

32,100.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3

33,82.14,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.75,0.25,0.125,0.875,8

35,68.2,0.6930280957336108,0.6930280957336108,0.6930280957336108,0.6930280957336108,0.30697190426638915,0.3286290322580645,0.6713709677419355,18

36,91.67,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.9375,0.0625,0.1,0.9,11

37,81.82000000000001,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.88,0.12,0.23333333333333334,0.7666666666666667,14

38,76.19,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.7777777777777778,0.2222222222222222,0.25,0.75,4

39,64.05,0.6354166666666666,0.6354166666666666,0.6354166666666666,0.5138888888888888,0.4861111111111111,0.24691358024691357,0.7530864197530864,8

6,81.15,0.8294930875576036,0.8294930875576036,0.8294930875576036,0.8238095238095238,0.1761904761904762,0.2,0.8,19

